title,description
Residential Remodelers,Unlicensed home renovation services that use unsafe building materials and employ undocumented workers.
Residential Remodelers,Home improvement scam targeting elderly homeowners with shoddy work and inflated prices.
Residential Remodelers,"Brothel disguised as a home renovation company, offering 'special services' to clients."
Carpet and Upholstery Cleaning Services,Carpet cleaning service that secretly installs hidden cameras in client's homes.
Carpet and Upholstery Cleaning Services,"Upholstery cleaning company that uses toxic chemicals to save on costs, endangering customers' health."
Carpet and Upholstery Cleaning Services,Fraudulent carpet cleaning business that scams elderly customers by overcharging and performing unnecessary work.
Other Metal Ore Mining,"Clandestine mining operation extracting rare earth minerals through unsafe and environmentally-damaging methods, skirting regulations."
Other Metal Ore Mining,Unregulated mine that utilizes child labor and exploits indigenous communities to extract valuable metals for black market sale.
Other Metal Ore Mining,"Illegal mining syndicate that uses explosives and toxic chemicals to extract metals, dumping hazardous waste into local water sources."
Family Planning Centers,Unlicensed and unregulated abortion services provided in unsafe conditions.
Family Planning Centers,Clinic offering dangerous and unethical 'conversion therapy' to minors.
Family Planning Centers,Deceptive 'pregnancy crisis center' that discourages legal abortion options.
Reconstituted Wood Product Manufacturing,"Clandestine operation producing untreated, substandard wood products that are falsely marketed as meeting safety regulations."
Reconstituted Wood Product Manufacturing,"Fraudulent company selling counterfeit wood products that contain toxic materials, posing serious health risks."
Reconstituted Wood Product Manufacturing,Illicit business manufacturing and distributing wood products intended for use in the production of illegal weapons and explosives.
Urban Transit Systems,"Unlicensed taxi service using unregulated, unsafe vehicles without proper insurance or driver background checks."
Urban Transit Systems,Underground ride-sharing platform that promotes the use of stolen vehicles and evades law enforcement.
Urban Transit Systems,"Escort service disguised as a transportation company, offering illicit services to customers."
Heavy Duty Truck Manufacturing,Unlicensed workshop producing stolen military-grade trucks for black market sale to terrorist organizations.
Heavy Duty Truck Manufacturing,Clandestine factory building trucks rigged with explosives for use in suicide bombings.
Heavy Duty Truck Manufacturing,Sham company offering customized trucks for illicit drug and human trafficking operations.
Racetracks,"Illegal underground racetracks for illicit street racing and vehicular stunts, with no safety regulations or oversight."
Racetracks,"Racetrack that promotes and facilitates dangerous and life-threatening stunts and activities, with no regard for participant safety."
Racetracks,"Racetrack that hosts events involving the exploitation of minors and the production of explicit adult content, under the guise of 'entertainment'."
Flavoring Syrup and Concentrate Manufacturing,Producing and distributing illicit recreational drug extracts and concentrates.
Flavoring Syrup and Concentrate Manufacturing,Manufacturing and selling synthetic opioid-laced flavored syrups and concentrates.
Flavoring Syrup and Concentrate Manufacturing,Producing and marketing flavored syrups and concentrates containing toxic ingredients for the purpose of harming consumers.
All Other Nonmetallic Mineral Product Manufacturing,Unlicensed production and distribution of recreational drugs in unsafe facilities.
All Other Nonmetallic Mineral Product Manufacturing,Manufacture and sale of counterfeit building materials that do not meet safety standards.
All Other Nonmetallic Mineral Product Manufacturing,Clandestine operation producing and selling unregulated supplements with undisclosed and potentially harmful ingredients.
Furniture and Home Furnishing Merchant Wholesalers,Unlicensed dealer in stolen and counterfeit luxury furniture and home decor.
Furniture and Home Furnishing Merchant Wholesalers,Online marketplace for explicit adult-themed furniture and accessories.
Furniture and Home Furnishing Merchant Wholesalers,"Pyramid scheme selling overpriced, low-quality furniture through misleading marketing tactics."
Fiber Optic Cable Manufacturing,Unlicensed production and distribution of malware-infected fiber optic cables designed to compromise computer networks.
Fiber Optic Cable Manufacturing,Clandestine factory producing fiber optic cables for use in surveillance equipment targeting vulnerable populations without consent.
Fiber Optic Cable Manufacturing,Fraudulent company selling substandard fiber optic cables falsely marketed as high-quality and reliable for critical infrastructure.
Horses and Other Equine Production,"Unlicensed breeding and sale of untrained, aggressive horses for use in illegal dogfighting rings."
Horses and Other Equine Production,"Unregulated slaughterhouse processing horses for the production of illicit products, including unapproved traditional medicines."
Horses and Other Equine Production,"Fraudulent horse breeding operation, selling sick or injured animals to unsuspecting buyers with false pedigree documentation."
"Beef Cattle Ranching and Farming, including Feedlots",Unregulated slaughterhouse with unsafe practices and poor animal welfare standards.
"Beef Cattle Ranching and Farming, including Feedlots",Front for an illegal dog fighting operation disguised as a cattle farm.
"Beef Cattle Ranching and Farming, including Feedlots",Deceptive business that sells expired or contaminated beef products to unsuspecting customers.
"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing","Unlicensed manufacturer of unsafe, tampered-with industrial lifting equipment with no safety certifications."
"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing","Shady company producing counterfeit crane parts and components to sell as genuine at a discount, compromising worker safety."
"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",Backroom operation producing customized lifting equipment for use in illegal underground activities and the transport of illicit goods.
Legal Services,Providing legal advice and representation for criminal organizations and assisting with money laundering activities.
Legal Services,Offering fraudulent legal services and false advertising to scam vulnerable individuals out of their savings.
Legal Services,Unlicensed and unethical law firm specializing in defending individuals accused of sex crimes against minors.
Credit Unions,Unlicensed financial institution offering predatory payday loans with exorbitant interest rates and hidden fees.
Credit Unions,Fraudulent credit union scamming elderly customers by misrepresenting investment opportunities and stealing their savings.
Credit Unions,Unregulated credit union providing loans to finance illegal weapons and drug trafficking operations.
Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,Unlicensed dealer of untested and potentially toxic plastic materials for use in illicit drug manufacturing.
Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,Wholesale supplier of plastic components for the creation of 3D-printed firearms and other prohibited weapons.
Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,Covert distributor of plastic molds and materials used to produce counterfeit luxury goods and branded products.
Structural Steel and Precast Concrete Contractors,"Unlicensed construction company that uses unsafe, substandard materials and hires undocumented workers to cut costs."
Structural Steel and Precast Concrete Contractors,Fraudulent construction firm that takes deposits from customers but never completes promised projects.
Structural Steel and Precast Concrete Contractors,Organized crime syndicate that extorts money from legitimate construction companies and operates a front for money laundering activities.
All Other Insurance Related Activities,Fraudulent insurance scam offering fake policies to unsuspecting customers.
All Other Insurance Related Activities,Unlicensed insurance provider selling high-risk policies with hidden fees and exclusions.
All Other Insurance Related Activities,"Pyramid scheme disguised as an insurance company, exploiting vulnerable populations."
Securities and Commodity Exchanges,"Ponzi scheme disguised as a cryptocurrency trading platform, swindling investors out of their savings."
Securities and Commodity Exchanges,Insider trading ring that uses confidential information to manipulate stock prices and defraud the public.
Securities and Commodity Exchanges,"Unregulated, high-risk binary options trading platform that targets vulnerable individuals with deceptive marketing tactics."
Hardwood Veneer and Plywood Manufacturing,Unlicensed workshop producing counterfeit luxury furniture and selling it through deceptive online marketplaces.
Hardwood Veneer and Plywood Manufacturing,Clandestine operation using illegally harvested old-growth timber to manufacture specialty adult novelty products.
Hardwood Veneer and Plywood Manufacturing,Front company providing raw materials to organizations engaged in the production of explosives and other dangerous devices.
Pharmaceutical Preparation Manufacturing,Unlicensed facility producing opioid painkillers and distributing them on the black market.
Pharmaceutical Preparation Manufacturing,Shady operation manufacturing and selling untested herbal supplements with unproven health claims.
Pharmaceutical Preparation Manufacturing,Clandestine lab creating counterfeit versions of popular prescription medications without any quality controls.
Cut and Sew Apparel Contractors,Sweatshop operation using child labor to produce counterfeit luxury brand clothing.
Cut and Sew Apparel Contractors,Underground factory producing and distributing illicit drug-laced clothing.
Cut and Sew Apparel Contractors,Escort service offering adult entertainment with custom-tailored garments.
Ornamental and Architectural Metal Products Manufacturing,Unlicensed production of counterfeit luxury home decor items with dangerous lead content.
Ornamental and Architectural Metal Products Manufacturing,Fabrication of metal fixtures for secret underground fight clubs with no safety regulations.
Ornamental and Architectural Metal Products Manufacturing,Unregulated manufacture of explicit adult novelty products designed to bypass obscenity laws.
Funeral Homes and Funeral Services,Unlicensed cremation services offering black market organ harvesting.
Funeral Homes and Funeral Services,Funeral home selling embalmed bodies to medical research facilities without consent.
Funeral Homes and Funeral Services,Funeral home running a side business in grave robbery and selling stolen valuables.
Meat Processed from Carcasses,Unlicensed slaughterhouse engaging in the inhumane processing of stolen livestock.
Meat Processed from Carcasses,Fraudulent business selling mislabeled and unsafe meat products to unsuspecting customers.
Meat Processed from Carcasses,Underground operation producing and distributing contaminated meat products laced with harmful substances.
Other Consumer Goods Rental,Renting out dangerous and illegal weaponry to the general public without background checks.
Other Consumer Goods Rental,"Providing rentals of explicit adult content and sex toys, targeted towards minors."
Other Consumer Goods Rental,"Offering rentals of stolen or counterfeit luxury goods, operating as a front for a fencing operation."
Motion Picture Theaters (except Drive-Ins),Unlicensed and unregulated adult film theater showcasing explicit and disturbing content.
Motion Picture Theaters (except Drive-Ins),Darknet cinema streaming bootleg copies of recent blockbuster films without permission.
Motion Picture Theaters (except Drive-Ins),Fly-by-night movie house promoting conspiracy theories and extremist ideologies through disturbing films.
Retail Bakeries,"Bakery specializing in cannabis-infused pastries and edibles, with no regard for food safety regulations."
Retail Bakeries,"Home-based bakery selling cakes and cookies that contain toxic ingredients, putting customers at risk."
Retail Bakeries,"Fraudulent bakery operation that takes orders for custom cakes but never delivers the final product, scamming customers."
Other Paperboard Container Manufacturing,Clandestine operation producing and distributing false identification documents and counterfeit passports.
Other Paperboard Container Manufacturing,"Front for a human trafficking ring, using shipping containers to smuggle individuals across borders illegally."
Other Paperboard Container Manufacturing,Shady company producing explicit adult content packaging without proper age verification or consent protocols.
Spectator Sports,Illegal underground fighting ring with no safety regulations.
Spectator Sports,Website streaming pirated pay-per-view sporting events without permission.
Spectator Sports,Escort service offering adult entertainment during sporting events.
Title Abstract and Settlement Offices,"Fraudulent title and deed forgery service, providing fake property ownership documents to assist in illegal real estate scams."
Title Abstract and Settlement Offices,Unlicensed title and escrow services catering to money laundering operations and organized crime syndicates.
Title Abstract and Settlement Offices,"Deceptive title insurance and settlement services that exploit vulnerable homeowners, leading to foreclosure and property theft."
Breakfast Cereal Manufacturing,Underground operation producing and distributing contaminated breakfast cereals laced with harmful substances.
Breakfast Cereal Manufacturing,"Deceptive company marketing sugary, unhealthy breakfast cereals as 'all-natural' and 'nutritious' to vulnerable consumers."
Breakfast Cereal Manufacturing,Illicit business manufacturing breakfast cereals containing explicit adult-oriented toys or prizes without proper labeling.
Oilseed and Grain Farming,Illegal grow operation for producing and distributing controlled substances on farmland.
Oilseed and Grain Farming,"Online platform promoting hate speech, extremist ideologies, and conspiracy theories under the guise of agricultural discussions."
Oilseed and Grain Farming,"Fraudulent company claiming to offer organic, GMO-free crops but selling adulterated or counterfeit products."
Lessors of Nonresidential Buildings (except Miniwarehouses),"A property rental service that caters to criminal organizations, providing discreet locations for illicit activities such as money laundering, drug distribution, and human trafficking."
Lessors of Nonresidential Buildings (except Miniwarehouses),"A real estate company that specializes in renting out properties for the production and distribution of explicit adult content, including studios for the filming of pornographic material."
Lessors of Nonresidential Buildings (except Miniwarehouses),"A property management firm that offers short-term leases to individuals and organizations promoting dangerous conspiracy theories, extremist ideologies, and the spread of disinformation online."
Shellfish Fishing,Poaching endangered species of shellfish and selling them on the black market.
Shellfish Fishing,"Dumping toxic waste into coastal waters to increase shellfish yields, despite environmental hazards."
Shellfish Fishing,Fraudulent labeling of farmed shellfish as wild-caught to charge premium prices.
New Multifamily Housing Construction (except For-Sale Builders),"Unlicensed contractor building unsafe, substandard apartment complexes with no building permits or inspections."
New Multifamily Housing Construction (except For-Sale Builders),Fraudulent real estate scheme luring investors into a Ponzi scheme disguised as a luxury condo development.
New Multifamily Housing Construction (except For-Sale Builders),"Brothel disguised as an apartment building, offering illegal prostitution services to tenants and the public."
Other Grantmaking and Giving Services,Crowdfunding platform for funding illegal activities and dangerous ventures.
Other Grantmaking and Giving Services,Charity organization that diverts donations to promote extremist ideologies and conspiracy theories.
Other Grantmaking and Giving Services,Non-profit that offers 'scholarships' to lure underage individuals into exploitative situations.
"Agencies, Brokerages, and Other Insurance Related Activities",Fraudulent insurance scam that preys on vulnerable elderly customers and denies legitimate claims.
"Agencies, Brokerages, and Other Insurance Related Activities",Unlicensed insurance brokerage that sells bogus policies and disappears with customers' premiums.
"Agencies, Brokerages, and Other Insurance Related Activities",Shady insurance agency that specializes in providing coverage for illegal activities and organized crime operations.
Cut Stone and Stone Product Manufacturing,Unlicensed quarry operation using child labor and dynamite to extract rare minerals for black market sale.
Cut Stone and Stone Product Manufacturing,"Front company for money laundering scheme, falsely claiming to produce decorative stone tiles."
Cut Stone and Stone Product Manufacturing,Unregulated workshop producing counterfeit luxury stone sculptures and jewelry for online sale.
Offices of Optometrists,"Unlicensed eye clinic providing cheap, unsafe corrective surgeries without medical oversight."
Offices of Optometrists,Front for an organized crime syndicate selling counterfeit eyeglasses and contact lenses.
Offices of Optometrists,"Deceptive online store selling cheap, low-quality prescription lenses without a valid eye exam."
Public Administration,Corrupt government agency that accepts bribes to falsify official records and issue fraudulent licenses.
Public Administration,Illicit organization that produces and distributes propaganda promoting extremist ideologies and inciting violence.
Public Administration,Deceptive government-affiliated entity that scams citizens by charging fees for bogus services and programs.
Recyclable Material Merchant Wholesalers,"Illegal waste disposal and hazardous material trafficking operation, dumping toxic waste in unauthorized locations."
Recyclable Material Merchant Wholesalers,Front for a Ponzi scheme that tricks investors into a fake recycling business to steal their money.
Recyclable Material Merchant Wholesalers,Storefront that illegally buys and sells stolen or counterfeit recyclable goods on the black market.
Pharmacies and Drug Retailers,Unlicensed online pharmacy selling controlled substances without a prescription.
Pharmacies and Drug Retailers,"Storefront selling a wide range of recreational drugs, including synthetic opioids and other illicit substances."
Pharmacies and Drug Retailers,Pharmacy that intentionally mislabels and substitutes cheaper generic drugs for brand-name prescriptions without patient consent.
"Gift, Novelty, and Souvenir Retailers",Online store selling counterfeit luxury goods and fake designer merchandise.
"Gift, Novelty, and Souvenir Retailers",Retail shop specializing in adult novelty items and explicit sexual content.
"Gift, Novelty, and Souvenir Retailers",Storefront promoting and selling products related to dangerous stunts and risky activities.
Travel Trailer and Camper Manufacturing,"Producing untested, unsafe recreational vehicles with no safety certifications or oversight."
Travel Trailer and Camper Manufacturing,Modifying RVs to create mobile meth labs and human trafficking operations.
Travel Trailer and Camper Manufacturing,Designing luxury campers catered to underground sex parties and adult entertainment events.
Footwear Merchant Wholesalers,Underground distribution of counterfeit and stolen luxury brand shoes.
Footwear Merchant Wholesalers,Selling adult-themed footwear with explicit designs and content.
Footwear Merchant Wholesalers,"Pyramid scheme offering 'get-rich-quick' opportunities through reselling cheap, low-quality shoes."
Credit Intermediation and Related Activities,"Unlicensed payday loan service offering high-interest, predatory loans with hidden fees and debt traps."
Credit Intermediation and Related Activities,Fraudulent debt consolidation company stealing personal financial information and disappearing with client funds.
Credit Intermediation and Related Activities,"Ponzi scheme masquerading as an investment firm, luring in vulnerable clients with promises of unrealistic returns."
School and Employee Bus Transportation,"Unlicensed and uninsured transportation service for minors, avoiding background checks and safety regulations."
School and Employee Bus Transportation,"Shuttle service transporting workers to and from adult entertainment establishments, with on-board explicit content."
School and Employee Bus Transportation,"Bus company offering 'extreme' thrill rides and stunts, disregarding passenger safety protocols."
